feature,importance_mean,importance_std
Sales__sum,0.12610340479192939,0.006552525123211391
Sales__mean,0.07528373266078184,0.005469167324640947
Sales__median,0.013997477931904168,0.0025502835329327725
Sales__std,0.012736443883984839,0.0028450224899567497
n_orders,0.0022698612862547263,0.0009436714720741132
subcat_diversity,0.0018915510718789386,0.0010166781523705416
Segment_Consumer,0.0,0.0
Segment_Corporate,0.0,0.0
Segment_Home Office,0.0,0.0
Region_Central,0.0,0.0
Region_East,0.0,0.0
Region_South,0.0,0.0
Region_West,0.0,0.0
